url_path,views_total,views_unique
/ThisCrashesYouOnPhone/aScrobble,105,70
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.3,15,10
/ThisCrashesYouOnPhone/aScrobble/issues,13,6
/ThisCrashesYouOnPhone/aScrobble/releases,7,6
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.1,6,4
/ThisCrashesYouOnPhone/aScrobble/activity,6,2
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.2,4,3
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.0,3,3
/ThisCrashesYouOnPhone/aScrobble/tree/main/.github/workflows,3,3
/ThisCrashesYouOnPhone/aScrobble/issues/1,2,2
