url_path,views_total,views_unique
/ThisCrashesYouOnPhone/aScrobble,94,62
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.3,14,9
/ThisCrashesYouOnPhone/aScrobble/issues,12,5
/ThisCrashesYouOnPhone/aScrobble/releases,6,5
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.1,6,4
/ThisCrashesYouOnPhone/aScrobble/activity,6,2
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.2,4,3
/ThisCrashesYouOnPhone/aScrobble/releases/tag/v1.1.0,3,3
/ThisCrashesYouOnPhone/aScrobble/tree/main/.github/workflows,3,3
/ThisCrashesYouOnPhone/aScrobble/issues/1,2,2
